GeoAreaCode,GeoAreaName,ISO3CD,Data_AFFCT_latest2010-2019,Data_DAFF_latest2010-2019,Data_AFFCT_Highest2010-2019,Data_DAFF_Highest2010-2019
4,Afghanistan,AFG,332536.2332,1053.1625,332536.2332,1053.16245
8,Albania,ALB,517.8405,18.0910,90495.12157,3069.6822
24,Angola,AGO,33176.0000,113.4222,187508,1042.17239
28,Antigua and Barbuda,ATG,40.2000,43.4304,2403.4,2730.20561
32,Argentina,ARG,133679.0000,303.5068,600000,1421.93458
51,Armenia,ARM,19446.8520,657.4929,19446.852,657.49291
36,Australia,AUS,25021.0000,100.1146,25021,100.11456
40,Austria,AUT,6630.0000,75.1701,6630,75.17007
50,Bangladesh,BGD,36782.0000,22.3463,12384370,7656.48841
52,Barbados,BRB,191.0000,68.7493,352.8,123.86553
84,Belize,BEL,5244.9810,1626.5272,5244.981,1626.52722
64,Bhutan,BTN,242.0000,32.9004,2472,331.74395
68,Bolivia (Plurinational State of),BOL,4938.5682,45.4341,1709261.41,17009.95084
72,Botswana,BWA,6106.0000,283.3591,6483,300.85439
76,Brazil,BRA,438410.0000,211.9922,946440,470.78905
100,Bulgaria,BGR,432.0000,6.1713,8640,118.60716
854,Burkina Faso,BFA,24808.0000,125.6008,38073,204.18473
108,Burundi,BDI,106233.0000,902.3963,106233,902.39632
132,Cabo Verde,CPV,9.0000,1.6744,936,180.59875
116,Cambodia,KHM,180456.7602,1094.5701,444855.4791,3059.22976
120,Cameroon,CMR,78717.0000,304.2040,78717,304.20398
152,Chile,CHL,17008.2000,96.7805,722477,4233.94334
156,China,CHN,6493721.0000,465.3730,12240627,885.2635
170,Colombia,COL,122188.0000,242.7282,2369508,5206.61318
174,Comoros,COM,52125.1259,6125.9463,66576.90024,9191.9718
184,Cook Islands,COK,4443.0000,24157.2423,4443,24157.24228
188,Costa Rica,CRI,165762.0000,3284.0019,165762,3284.00192
384,Côte d'Ivoire,CIV,6917.0000,29.7811,10187,44.98032
191,Croatia,HRV,7530.0000,175.7338,7530,175.73384
196,Cyprus,CYP,935.0000,78.6202,1314,155.13577
203,Czechia,CZE,81001.0000,763.4362,81001,763.43619
262,Djibouti,DJI,13.0000,1.4975,157,18.39116
212,Dominica,DMA,9.0000,12.6598,4231,5957.56065
218,Ecuador,ECU,45.3600,0.2611,96012.77754,580.88418
818,Egypt,EGY,18572.0000,18.9315,37284,47.3841
222,El Salvador,SLV,23179.9853,366.4750,61951.02789,997.51002
226,Equatorial Guinea,GNQ,430.0000,34.0727,1499,123.35611
233,Estonia,EST,600.0000,45.0628,600,45.06281
748,Eswatini,SWZ,207922.0026,18109.5746,642924,56762.46207
231,Ethiopia,ETH,378.0000,0.4100,6351826,7976.27395
242,Fiji,FJI,77756.0000,8737.0710,155724,17572.48237
246,Finland,FIN,68.0000,1.2292,400,7.371
250,France,FRA,8526.0000,12.7462,11611,17.34202
270,Gambia,GMB,77477.0000,3300.1292,428000,22466.95573
268,Georgia,GEO,90.7710,2.2711,198,5.30883
288,Ghana,GHA,4506.4688,15.2172,79691.4675,273.652
308,Grenada,GRD,77.0000,72.1068,77,72.10683
320,Guatemala,GTM,9870.0000,57.2245,52178,308.30425
624,Guinea-Bissau,GNB,9.0000,0.4802,3360,183.79276
328,Guyana,GUY,8662.7041,1140.9088,8662.70405,1140.90884
340,Honduras,HND,488.0000,5.3550,103716,1246.96617
360,Indonesia,IDN,248086.8810,91.6716,11094891,4200.03929
364,Iran (Islamic Republic of),IRN,6374816.4846,8541.3278,6374816.485,8541.32778
368,Iraq,IRQ,14447.0000,37.8946,73564,208.91385
372,Ireland,IRL,2099.0000,44.0794,2099,44.07937
388,Jamaica,JAM,35525.8179,1249.9725,35525.81792,1249.97248
392,Japan,JAP,446061.0000,350.6709,446061,350.67085
400,Jordan,JOR,755.0000,7.3237,1711,17.46275
398,Kazakhstan,KAZ,354.0000,1.9082,22519,125.80447
404,Kenya,KEN,803.0000,1.5274,44925.5742,106.88756
414,Kuwait,KWT,1.0000,0.0308,1,0.0308
417,Kyrgyzstan,KGZ,1170.0000,18.2361,31700,537.73473
418,Lao People's Democratic Republic,LAO,6228.9159,96.6544,1243360.18,19587.98966
422,Lebanon,LBN,70.0000,1.1681,282,4.95305
450,Madagascar,MDG,193170.0217,735.5408,1007705.985,4764.19788
454,Malawi,MWI,6765529.0000,36317.6776,6765529,36317.67759
458,Malaysia,MYS,10529.0000,32.3160,557713,1816.15188
462,Maldives,MDV,59.0000,14.4729,59,14.47285
466,Mali,MLI,259092.0000,1399.5570,259092,1399.55702
584,Marshall Islands,MHL,280.0000,489.6560,280,489.65602
480,Mauritius,MUS,166.6601,13.2549,4015.46845,320.34333
484,Mexico,MEX,3590834.9000,2814.6737,3894020.07,3122.90981
496,Mongolia,MNG,9092.0000,281.9080,97186,3115.00079
499,Montenegro,MNE,7541.0000,1211.6801,11251.84831,1814.79083
504,Morocco,MAR,6.0000,0.0165,57328.79458,177.25045
508,Mozambique,MOZ,64618.0000,219.0737,1602737,6065.54597
104,Myanmar,MMR,212676.7303,393.5148,1063882,2010.48474
516,Namibia,NAM,1841.0000,87.1241,593196,28072.61638
524,Nepal,NPL,183401.0000,641.0669,10230262,36487.25668
554,New Zealand,NZL,546.0000,11.1759,90350,1925.12571
558,Nicaragua,NIC,18046.0339,297.6684,18046.0339,297.6684
562,Niger,NER,9985.0000,42.8344,5922604,29814.16574
578,Norway,NOR,20998.0000,399.3293,20998,399.32929
586,Pakistan,PAK,11489.2615,5.4250,6968767.474,3801.00419
585,Palau,PLW,1528.0000,8664.5875,1528,8664.58747
591,Panama,PAN,1268.1683,29.8643,367612.6965,10091.78919
598,Papua New Guinea,PNG,358.3867,4.6016,358.38669,4.60155
600,Paraguay,PRY,121568.0000,1723.6395,219512.8505,3326.19217
604,Peru,PER,1241947.2000,3861.5139,3193411.8,10141.47744
608,Philippines,PHL,5562065.0000,5217.7655,14244926,14506.55166
410,Republic of Korea,KOR,13673.4897,26.4839,153554.2577,316.08343
642,Romania,ROU,137461.0000,703.8226,137461,703.82263
643,Russian Federation,RUS,120911.0000,82.8883,211540,147.57198
646,Rwanda,RWA,14475.9999,124.0570,14475.99987,124.05701
659,Saint Kitts and Nevis,KNA,35.0000,69.5438,35,69.54379
662,Saint Lucia,LCA,2.0000,1.1267,8112,4659.60527
670,Saint Vincent and the Grenadines,VCT,30.0000,27.5563,7953.4,7346.57306
882,Samoa,WSM,#N/A,#N/A,0,0
686,Senegal,SEN,1215.9000,8.3404,1590837.231,12547.8726
688,Serbia,SRB,2041.7992,23.2757,122421.7159,1369.35266
690,Seychelles,SYC,49.1221,51.2527,49.12208,51.25265
694,Sierra Leone,SLE,4844.2415,67.5447,12559.7917,182.98131
705,Slovenia,SVN,786.0000,37.8129,3710,181.24297
90,Solomon Islands,SLB,4800.0000,840.1464,4800,840.1464
706,Somalia,SOM,232.0000,1.8862,232,1.88618
710,South Africa,ZAF,39176.0000,70.0712,39176,70.07118
728,South Sudan,SSD,500.0000,4.6157,500,4.61573
144,Sri Lanka,LKA,81884.0000,375.5630,2703244,13010.12609
275,State of Palestine,PSE,305.0000,6.2835,2303,49.71908
729,Sudan,SDN,752151.0176,1756.8189,6442600,16762.2161
752,Sweden,SWE,2549.1760,24.9182,2549.176,24.91818
756,Switzerland,CHE,558466.0000,6550.4490,558466,6550.44904
760,Syrian Arab Republic,SYR,#N/A,#N/A,0,0
762,Tajikistan,TJK,1193.0000,13.0654,2033,23.25342
764,Thailand,THA,142780.0000,214.9849,142780,214.98486
626,Timor-Leste,TLS,579.4711,46.6090,28351.03549,2592.64698
768,Togo,TGO,2239.0000,30.4543,15801,246.05714
776,Tonga,TON,84311.0000,81954.7995,84311,81954.79951
780,Trinidad and Tobago,TTO,4.0000,0.2936,4,0.29361
788,Tunisia,TUN,17879.2840,154.7796,17879.284,154.77959
792,Turkey,TUR,335224.5041,401.8052,335224.5041,401.80521
800,Uganda,UGA,40780.3182,102.8529,65542.98785,195.78646
804,Ukraine,UKR,45369.0000,103.1263,45369,104.39406
834,United Republic of Tanzania,TZA,21083.6200,36.3477,341724,670.81426
840,United States of America,USA,1927326.0000,591.7140,1927326,591.71401
858,Uruguay,URY,751.0000,21.4205,43593,1252.59251
548,Vanuatu,VUT,152.0000,57.6002,500,211.67067
862,Venezuela (Bolivarian Republic of),VEN,1116.8031,3.7126,46597.06644,158.70488
704,Viet Nam,VNM,616421.7897,700.7369,616421.7897,700.73687
887,Yemen,YEM,2321.2822,10.0250,2321.28223,10.02504
894,Zambia,ZMB,245310.2169,1455.5353,245310.2169,1455.53532
716,Zimbabwe,ZWE,702363.0000,4795.7686,702363,4795.76863
