GeoAreaCode,GeoAreaName,2017_CO2,ISOCD
24,Angola,18.021,AGO
8,Albania,4.342,ALB
784,United Arab Emirates,196.51,ARE
32,Argentina,183.375,ARG
51,Armenia,5.166,ARM
36,Australia,384.584,AUS
40,Austria,64.872,AUT
31,Azerbaijan,30.806,AZE
56,Belgium,90.368,BEL
204,Benin,6.763,BEN
50,Bangladesh,78.27,BGD
100,Bulgaria,42.82,BGR
48,Bahrain,29.814,BHR
70,Bosnia and Herzegovina,22.328,BIH
112,Belarus,54.07,BLR
68,Bolivia (Plurinational State of),21.899,BOL
76,Brazil,427.633,BRA
96,Brunei Darussalam,6.71,BRN
72,Botswana,7.717,BWA
124,Canada,547.799,CAN
756,Switzerland,37.136,CHE
152,Chile,86.087,CHL
156,China,9257.934,CHN
384,C“te d'Ivoire,10.234,CIV
120,Cameroon,6.153,CMR
180,Democratic Republic of the Congo,2.202,COD
178,Congo,2.847,COG
170,Colombia,75.292,COL
188,Costa Rica,7.584,CRI
192,Cuba,26.216,CUB
531,Cura‡ao,3.748,CUW
196,Cyprus,6.368,CYP
203,Czechia,101.683,CZE
276,Germany,718.794,DEU
208,Denmark,31.264,DNK
214,Dominican Republic,21.43,DOM
12,Algeria,130.494,DZA
218,Ecuador,34.299,ECU
818,Egypt,209.219,EGY
232,Eritrea,0.632,ERI
724,Spain,253.423,ESP
233,Estonia,15.972,EST
231,Ethiopia,13.06,ETH
246,Finland,42.598,FIN
250,France,306.124,FRA
266,Gabon,3.368,GAB
826,United Kingdom of Great Britain and Northern Ireland,358.731,GBR
268,Georgia,8.72,GEO
288,Ghana,13.78,GHA
292,Gibraltar,0.704,GIB
300,Greece,63.213,GRC
320,Guatemala,15.703,GTM
344,"China, Hong Kong Special Administrative Region",44.035,HKG
340,Honduras,9.427,HND
191,Croatia,16.193,HRV
332,Haiti,3.293,HTI
348,Hungary,45.784,HUN
360,Indonesia,496.406,IDN
356,India,2161.567,IND
372,Ireland,35.72,IRL
364,Iran (Islamic Republic of),567.123,IRN
368,Iraq,139.878,IRQ
352,Iceland,2.173,ISL
376,Israel,63.766,ISR
380,Italy,321.481,ITA
388,Jamaica,6.972,JAM
400,Jordan,25.55,JOR
392,Japan,1132.435,JPN
398,Kazakhstan,255.768,KAZ
404,Kenya,16.265,KEN
417,Kyrgyzstan,8.909,KGZ
116,Cambodia,10.763,KHM
410,Republic of Korea,600.034,KOR
414,Kuwait,89.421,KWT
422,Lebanon,26.931,LBN
434,Libya,41.528,LBY
144,Sri Lanka,23.103,LKA
440,Lithuania,10.811,LTU
442,Luxembourg,8.631,LUX
428,Latvia,6.68,LVA
504,Morocco,58.15,MAR
498,Republic of Moldova,7.527,MDA
484,Mexico,445.992,MEX
807,North Macedonia,7.441,MKD
470,Malta,1.516,MLT
104,Myanmar,30.405,MMR
499,Montenegro,2.206,MNE
496,Mongolia,19.276,MNG
508,Mozambique,7.625,MOZ
480,Mauritius,4.182,MUS
458,Malaysia,211.047,MYS
516,Namibia,4.037,NAM
562,Niger,2.049,NER
566,Nigeria,85.989,NGA
558,Nicaragua,5.106,NIC
528,Netherlands,155.574,NLD
578,Norway,34.761,NOR
524,Nepal,10.114,NPL
554,New Zealand,32.242,NZL
512,Oman,65.499,OMN
586,Pakistan,183.447,PAK
591,Panama,9.612,PAN
604,Peru,49.694,PER
608,Philippines,126.488,PHL
616,Poland,305.842,POL
408,Democratic People's Republic of Korea,19.58,PRK
620,Portugal,50.758,PRT
600,Paraguay,7.655,PRY
634,Qatar,80.117,QAT
642,Romania,70.789,ROU
643,Russian Federation,1536.879,RUS
682,Saudi Arabia,532.182,SAU
729,Sudan,18.778,SDN
686,Senegal,8.312,SEN
702,Singapore,47.407,SGP
222,El Salvador,5.736,SLV
688,Serbia,46.13,SRB
728,South Sudan,1.549,SSD
740,Suriname,1.928,SUR
703,Slovakia,32.212,SVK
705,Slovenia,13.411,SVN
752,Sweden,37.644,SWE
760,Syrian Arab Republic,23.031,SYR
768,Togo,2.082,TGO
764,Thailand,244.255,THA
762,Tajikistan,5.844,TJK
795,Turkmenistan,68.999,TKM
780,Trinidad and Tobago,18.008,TTO
788,Tunisia,26.157,TUN
792,Turkey,378.631,TUR
834,United Republic of Tanzania,10.132,TZA
804,Ukraine,171.3,UKR
858,Uruguay,5.873,URY
840,United States of America,4761.302,USA
860,Uzbekistan,81.156,UZB
862,Venezuela (Bolivarian Republic of),113.718,VEN
704,Viet Nam,191.244,VNM
887,Yemen,8.92,YEM
710,South Africa,421.682,ZAF
894,Zambia,6.008,ZMB
716,Zimbabwe,9.715,ZWE
